ANO,MES,PODER,UO,UG,FONTE_MAE,NATUREZA3,VALOR_EMPENHADO
2024,1,EXE,11504,410504,501,333000000,1449.0
2024,1,EXE,35538,530538,752,333000000,3388.8
2024,1,EXE,18520,510520,500,333000000,5071.71
2024,1,EXE,16506,410506,500,333000000,112959.64
2024,1,EXE,16506,410506,501,333000000,3955572.0
2024,1,EXE,29032,520032,500,333000000,170000.0
2024,1,EXE,21018,410018,500,333000000,21833.94
2024,1,MPE,3004,30004,500,333000000,2680.96
2024,1,EXE,27524,510556,500,333000000,27440.0
2024,1,EXE,35538,530538,752,333000000,3388.8
2024,1,EXE,27524,510524,500,333000000,2076.64
2024,1,EXE,14566,140566,500,333000000,1769.56
2024,1,EXE,15526,510526,660,333000000,4000.0
2024,1,EXE,24038,540038,500,333000000,69.0
2024,1,EXE,15526,510526,660,333000000,4000.0
2024,1,EXE,24038,540038,500,333000000,124.45
2024,1,EXE,16514,510514,500,333000000,16500.0
2024,1,EXE,23542,530542,703,333000000,2300.0
2024,1,MPE,3004,30004,500,333000000,115615.34
2024,1,EXE,13017,410017,500,331000000,4424.5
2024,1,EXE,21018,410018,500,333000000,271880.0
2024,1,EXE,11008,110008,500,333000000,0.0
2024,3,EXE,11011,110011,500,333000000,1702.65
2024,2,EXE,27524,510524,500,333000000,0.0
2024,1,EXE,16514,510514,500,333000000,7000.0
2024,2,EXE,19033,540033,500,333000000,-0.04
2024,2,EXE,91997,910997,500,331000000,0.0
2024,2,EXE,36021,360021,500,333000000,74857.8
2024,3,EXE,14566,140566,500,333000000,517.5
2024,2,EXE,13548,410548,500,333000000,0.0
2024,2,EXE,14030,520030,500,333000000,258.75
2024,2,EXE,35538,530538,752,333000000,3388.8
2024,2,JUD,2501,20501,760,333000000,97468.7
2024,2,EXE,23542,530542,501,333000000,2500.0
2024,1,EXE,23542,530542,501,333000000,2370.0
2024,1,EXE,23542,530542,501,333000000,241.5
2024,1,EXE,23542,530542,501,333000000,120.75
2024,2,EXE,23542,530542,703,333000000,1500.0
2024,2,EXE,18557,510557,500,333000000,0.0
2024,2,EXE,14541,530541,500,333000000,1630.13
2024,2,MPE,3004,30004,500,333000000,209.5
2024,2,EXE,19035,540035,500,333000000,2942264.16
2024,1,EXE,13571,130571,500,331000000,158280.17
2024,2,EXE,19034,540034,500,333000000,132564.56
2024,2,EXE,14541,530541,500,333000000,104708.31
2024,2,EXE,24038,540038,500,333000000,85.42
2024,2,EXE,21513,410513,500,333000000,8197.7
2024,2,EXE,19033,540033,500,333000000,275068.65
2024,2,EXE,27524,510524,600,333000000,7000.0
2024,2,EXE,18520,510520,500,333000000,1450.0
2024,2,EXE,14541,530541,500,333000000,422.63
2024,2,MPE,3004,30004,500,333000000,27157.98
2024,2,EXE,37001,370001,500,333000000,4510.16
2024,2,EXE,24038,540038,500,333000000,69.0
2024,2,EXE,28027,520027,500,333000000,10000.0
2024,2,EXE,24037,540037,500,333000000,7005.69
2024,2,EXE,11011,110011,500,333000000,2555.0
2024,1,EXE,27524,510023,500,331000000,2560494.78
2024,1,EXE,27524,510023,500,331000000,47646.55
2024,2,EXE,13017,410017,500,333000000,8033.3
2024,2,EXE,34051,340051,500,333000000,1115.61
2024,2,EXE,19034,540034,500,331000000,55332.68
2024,2,EXE,14541,530541,500,333000000,0.0
2024,2,EXE,35538,530538,752,333000000,9744.93
2024,2,EXE,14541,530541,500,333000000,12027.75
2024,1,EXE,23542,530542,501,333000000,4990.0
2024,2,JUD,2003,20003,500,331000000,53138.74
2024,2,EXE,27556,510556,500,331000000,2037.85
2024,1,EXE,23542,530542,501,333000000,241.5
2024,2,EXE,13548,410548,500,333000000,0.0
2024,1,EXE,23542,530542,501,333000000,241.51
2024,2,EXE,21018,410018,500,333000000,0.0
2024,2,EXE,21018,410018,500,333000000,30000.0
2024,3,EXE,35032,350032,500,333000000,422.63
2024,2,EXE,20020,510020,540,331000000,12889286.22
2024,3,EXE,27524,510524,600,333000000,40800.0
2024,2,EXE,16506,410506,501,333000000,1000.0
2024,2,EXE,20020,510020,540,333000000,3820.04
2024,2,EXE,20020,510020,500,333000000,3306.52
2024,2,EXE,11006,110006,500,333000000,0.0
2024,3,EXE,27524,510556,600,333000000,0.0
2024,2,LEG,1002,10002,500,333000000,0.0
2024,2,EXE,23543,530543,709,333000000,0.0
2024,2,EXE,23543,530543,709,333000000,0.0
2024,2,EXE,27524,510524,500,333000000,607420.0
2024,2,EXE,35032,350032,500,333000000,621.0
2024,1,EXE,20516,510516,500,333000000,92862.0
2024,2,EXE,20020,510020,500,333000000,1106700.0
2024,2,EXE,27556,510556,500,333000000,2838.0
2024,2,EXE,27524,510524,500,333000000,1303878.61
2024,2,EXE,27524,510524,500,333000000,63688.0
2024,2,EXE,30041,300041,500,333000000,17391.25
2024,1,EXE,20020,510020,500,333000000,251309.4
2024,2,EXE,14030,520030,500,333000000,543.38
2024,2,EXE,17010,110010,500,333000000,6300.0
2024,2,EXE,19033,540033,500,333000000,485334.16
2024,2,EXE,23542,530542,501,333000000,1328.25
2024,3,EXE,27524,510556,600,333000000,26568.0
2024,3,EXE,23542,530542,501,333000000,693.9
2024,2,EXE,30041,300041,761,333000000,25747.13
